Odds,Highs
0.485,61
0.485,53.06
0.485,52.75
0.475,48.36
0.465,45.74
0.465,
0.465,
0.465,41.46
0.465,38.2
0.465,37.29
0.455,34.68
0.455,33.09
0.455,
0.455,
0.455,29.76
0.455,27.45
0.445,28.29
0.445,33.44
0.425,37.19
0.425,
0.435,
0.435,37.38
0.435,36.39
0.435,37.23
0.425,39.4
0.425,44.59
0.435,
0.435,
0.435,47.19
0.435,50.75
0.445,54.98
0.455,49.78
0.455,48.93
0.465,
0.465,
0.465,50.06
0.465,49.72
0.465,50.25
0.455,55.25
0.445,56.52
0.445,
0.445,
0.445,56.55
0.51,55.2
0.485,54.6
0.495,53.8
0.495,52.58
0.505,
0.515,
0.515,50.55
0.54,48.39
0.545,46.24
0.55,46.14
0.545,46.07
0.545,
0.555,
0.555,
0.555,50.45
0.565,52.18
0.565,52.75
0.535,53.92
0.545,
0.535,
0.535,50.62
0.535,46.99
0.555,47
0.555,47.2
0.545,46
0.555,
0.555,
0.555,46.69
0.565,42.49
0.555,41.24
0.565,41.66
0.565,40.03
0.565,
0.565,
0.565,37
0.565,34.98
0.565,
0.565,29.37
0.565,28.21
0.565,
0.575,
0.575,36.09
0.585,37.6
0.595,39.42
0.595,40.54
0.605,39.94
0.625,
0.625,
0.615,34.58
0.66,33.08
0.65,32.9
0.615,
0.605,30.59
0.605,
0.625,
0.625,31.37
0.605,31.42
0.625,30.38
0.625,30.31
0.6,31.55
0.595,
0.675,
0.695,46.27
0.705,38.72
0.685,39.2
0.675,37.63
0.615,37.2
0.645,
0.64,
0.63,35.77
0.625,34
0.605,32.34
0.625,31.58
0.615,31.45
0.585,
0.575,
0.585,31.04
0.595,30.25
0.585,29.29
0.555,29.06
0.535,29.46
0.525,
0.545,
0.515,27.88
0.535,27.66
0.515,27.16
0.485,26.66
0.4915,26.5
0.476,
0.453,
0.4555,27.18
0.4585,24.7
0.4555,24.19
0.447,25.05
0.443,23.94
0.4545,
0.4865,
0.4835,23.12
0.486,22.39
0.5025,24.83
0.5215,25.08
0.5175,23.57
0.5015,
0.502,
0.4955,23.15
0.4945,21.75
0.5035,20.73
0.503,21.09
0.498,20.2
0.4995,
0.5025,
0.5085,
0.5175,19.61
0.5115,18.23
0.5295,17.75
0.528,17.87
0.5055,
0.5,
0.513,19.06
0.5225,20.1
0.5195,16.8
0.496,16.34
0.491,20.86
0.491,
0.4885,
0.494,18.45
0.4945,17.09
0.4805,16.15
0.4675,15.37
0.4715,14.39
0.479,
0.4755,
0.4695,13.74
0.4825,13.01
0.481,14.48
0.4885,14.31
0.4895,15.36
0.4855,
0.4825,
0.4905,16.3
0.4885,17.28
0.4825,16.33
0.4925,16.56
0.4965,16.75
0.4975,
0.5015,
0.5075,19.68
0.5395,22.12
0.529,21.65
