Odds,Highs,Days until Election
0.485,61,218
0.485,53.06,217
0.485,52.75,216
0.475,48.36,215
0.465,45.74,214
0.465,41.46,211
0.465,38.2,210
0.465,37.29,209
0.455,34.68,208
0.455,33.09,207
0.455,29.76,204
0.455,27.45,203
0.445,28.29,202
0.445,33.44,201
0.425,37.19,200
0.435,37.38,197
0.435,36.39,196
0.435,37.23,195
0.425,39.4,194
0.425,44.59,193
0.435,47.19,190
0.435,50.75,189
0.445,54.98,188
0.455,49.78,187
0.455,48.93,186
0.465,50.06,183
0.465,49.72,182
0.465,50.25,181
0.455,55.25,180
0.445,56.52,179
0.445,56.55,176
0.51,55.2,175
0.485,54.6,174
0.495,53.8,173
0.495,52.58,172
0.515,50.55,169
0.54,48.39,168
0.545,46.24,167
0.55,46.14,166
0.545,46.07,165
0.555,50.45,161
0.565,52.18,160
0.565,52.75,159
0.535,53.92,158
0.535,50.62,155
0.535,46.99,154
0.555,47,153
0.555,47.2,152
0.545,46,151
0.555,46.69,148
0.565,42.49,147
0.555,41.24,146
0.565,41.66,145
0.565,40.03,144
0.565,37,141
0.565,34.98,140
0.565,29.37,138
0.565,28.21,137
0.575,36.09,134
0.585,37.6,133
0.595,39.42,132
0.595,40.54,131
0.605,39.94,130
0.615,34.58,127
0.66,33.08,126
0.65,32.9,125
0.605,30.59,123
0.625,31.37,120
0.605,31.42,119
0.625,30.38,118
0.625,30.31,117
0.6,31.55,116
0.695,46.27,113
0.705,38.72,112
0.685,39.2,111
0.675,37.63,110
0.615,37.2,109
0.63,35.77,106
0.625,34,105
0.605,32.34,104
0.625,31.58,103
0.615,31.45,102
0.585,31.04,99
0.595,30.25,98
0.585,29.29,97
0.555,29.06,96
0.535,29.46,95
0.515,27.88,92
0.535,27.66,91
0.515,27.16,90
0.485,26.66,89
0.4915,26.5,88
0.4555,27.18,85
0.4585,24.7,84
0.4555,24.19,83
0.447,25.05,82
0.443,23.94,81
0.4835,23.12,78
0.486,22.39,77
0.5025,24.83,76
0.5215,25.08,75
0.5175,23.57,74
0.4955,23.15,71
0.4945,21.75,70
0.5035,20.73,69
0.503,21.09,68
0.498,20.2,67
0.5175,19.61,63
0.5115,18.23,62
0.5295,17.75,61
0.528,17.87,60
0.513,19.06,57
0.5225,20.1,56
0.5195,16.8,55
0.496,16.34,54
0.491,20.86,53
0.494,18.45,50
0.4945,17.09,49
0.4805,16.15,48
0.4675,15.37,47
0.4715,14.39,46
0.4695,13.74,43
0.4825,13.01,42
0.481,14.48,41
0.4885,14.31,40
0.4895,15.36,39
0.4905,16.3,36
0.4885,17.28,35
0.4825,16.33,34
0.4925,16.56,33
0.4965,16.75,32
0.5075,19.68,29
0.5395,22.12,28
